Full Name,Address,Date of Birth,National ID,Phone,Email,Account Number,Account Balance,Transaction History,Loan Amount,Credit Score,PIN (masked),Biometric Data,Employment,Income,Investment Portfolio,Insurance Policy,Beneficiary,Ethnic Origin,Trade Union Membership,Criminal Convictions,Political Opinions,Health,Religious Beliefs,Philosophical Beliefs,Sexual Orientation
Michael Miller,9000 334 Elm St,1998-02-17,98.02.17-660.89,+32 56 806 254,michael.miller@telenet.be,BE19140732590914,14924.88,2025-06-04 POS 2759.07; 2025-03-03 POS 3966.89; 2025-03-05 POS 384.94; 2025-08-21 POS 372.19; 2025-07-03 ATM 862.45; 2025-03-05 Wire 1526.6; 2025-08-19 Wire 2909.05,67448.52,743,****76,Iris,Employed,Income: €70666,340700.16,Health,Mario Cisneros,White,Yes,Minor,,Chronic illness,Jewish,Humanist,Homosexual
Robert Miller,8000 819 Oak Ave,1978-08-22,78.08.22-873.19,+32 97 234 330,robert.miller@proximus.be,BE02081446089535,68828.71,2025-05-29 ATM 247.0; 2025-06-07 POS -431.29; 2025-03-22 ATM 529.88; 2025-03-16 ATM 3693.77; 2025-02-25 Wire 3285.01,163883.05,599,****56,Iris,Employed,Income: €58060,173028.23,Car,Brittany Johns,Asian,Yes,Minor,Liberal,Chronic illness,Buddhist,Other,Other
Tom Miller,9000 151 Main St,1996-08-18,96.08.18-553.97,+32 63 928 501,tom.miller@skynet.be,BE41574747280998,63099.18,2025-08-29 Wire -280.25; 2025-07-21 ATM 2249.17; 2025-07-19 POS 3095.28; 2025-06-10 Wire 2733.94; 2025-08-17 Wire 2453.29,108829.29,367,****38,FaceID,Retired,Income: €20562,311228.53,Health,Keith Cannon,Arab,Yes,,Other,Good,Muslim,Spiritual,Other
Alex Lewis,8000 710 Main St,2001-10-03,01.10.03-706.29,+32 76 103 263,alex.lewis@gmail.com,BE35808945872786,10219.64,2025-08-13 Online 660.54; 2025-09-03 POS 1880.87; 2025-04-06 ATM 3060.51; 2025-01-22 Online -333.84; 2025-06-14 POS 1742.6,45353.92,429,****66,Fingerprint,Student,Income: €61349,34184.94,Life,Carol Martinez,Other,No,,Other,Chronic illness,Buddhist,Agnostic,Other
Anna Lewis,9000 67 Pine Rd,1988-02-27,88.02.27-961.95,+32 31 308 124,anna.lewis@gmail.com,BE90467249387771,4185.43,2025-09-21 Wire 4626.96; 2025-04-28 Online 3406.81; 2025-01-31 Wire 4741.02; 2025-05-04 ATM 3790.49; 2025-04-17 POS 3105.9; 2025-04-26 ATM 2755.64; 2025-05-15 Wire 781.67,27820.62,699,****21,FaceID,Student,Income: €28542,252352.78,Health,Robert Baker,White,Yes,Minor,Conservative,Chronic illness,Hindu,Atheist,Bisexual
Chris Lewis,4000 311 Pine Rd,1992-03-27,92.03.27-118.48,+32 90 657 200,chris.lewis@telenet.be,BE75128005349405,30348.56,2025-03-12 POS 3760.69; 2025-08-08 POS 1872.2; 2025-08-30 POS 3806.09; 2025-03-18 Online 1801.73; 2025-03-07 POS 2381.2; 2025-08-10 Wire -37.13; 2025-05-04 ATM 2152.95; 2025-02-07 Wire 4099.93,137860.19,611,****41,Iris,Retired,Income: €46209,399114.42,Life,Bryan Smith,Other,No,,Socialist,Chronic illness,Muslim,Other,Heterosexual
Emily Lewis,1000 586 Maple Dr,1984-04-14,84.04.14-829.34,+32 41 107 756,emily.lewis@skynet.be,BE64252458940165,69834.77,2025-07-05 Online 1558.4; 2025-06-22 POS 3104.73; 2025-02-05 POS 865.35,129450.04,314,****63,Voice,Retired,Income: €58629,213440.53,Car,Natalie Glenn,Other,Yes,Minor,Conservative,Chronic illness,Other,Spiritual,Homosexual
Jane Lewis,9000 653 Oak Ave,1982-12-01,82.12.01-681.16,+32 43 799 634,jane.lewis@telenet.be,BE53394615620048,49592.15,2025-03-30 ATM 2073.17; 2025-06-09 ATM 4285.98; 2025-09-08 ATM 1993.67; 2025-06-15 POS 2817.56; 2025-02-05 Online 2140.25,102326.22,635,****84,Iris,Student,Income: €79973,445430.97,Home,Christopher Whitaker,Mixed,Yes,Minor,Socialist,Good,,Spiritual,Bisexual
John Lewis,5000 840 Elm St,1992-01-05,92.01.05-287.18,+32 26 363 437,john.lewis@gmail.com,BE52067392977169,95192.42,2025-06-19 Online 919.47; 2025-03-02 POS 2139.04; 2025-09-19 Online 2094.57; 2025-02-20 Wire 3128.06; 2025-04-15 POS 68.52; 2025-03-16 POS -180.46; 2025-08-25 Wire 3023.01,63461.95,326,****54,Voice,Unemployed,Income: €30778,167296.93,Life,Thomas Perry,White,Yes,Minor,Socialist,Other,Hindu,Atheist,Heterosexual
Katie Lewis,8000 429 Elm St,1983-04-13,83.04.13-616.34,+32 24 287 969,katie.lewis@gmail.com,BE30241691988114,61768.75,2025-01-04 ATM 1474.62; 2025-06-20 Online 3303.05; 2025-04-24 Wire 3766.64; 2025-02-20 POS 4543.59; 2025-04-28 Online 4024.21,112252.66,587,****63,Voice,Unemployed,Income: €95193,166657.63,,Ryan Harris,Other,Yes,Minor,Other,Mental health,Buddhist,Humanist,Heterosexual
Laura Lewis,4000 405 Main St,1976-05-05,76.05.05-545.97,+32 49 795 394,laura.lewis@gmail.com,BE74803960269505,42849.1,2025-07-22 POS 1.55; 2025-04-03 Online -291.61; 2025-09-11 Wire -138.0,67245.23,500,****19,Iris,Unemployed,Income: €93131,366844.24,Home,Joshua Smith,Black,No,,Socialist,Chronic illness,Hindu,Atheist,Heterosexual
Linda Lewis,7000 496 Main St,1974-10-15,74.10.15-896.36,+32 74 324 628,linda.lewis@hotmail.com,BE30022566877514,39147.31,2025-06-20 ATM 1363.66; 2025-01-06 POS 639.18; 2025-06-19 ATM 1214.41; 2025-01-10 Online 489.8; 2025-09-21 Online 2307.71; 2025-09-11 Wire 1691.54; 2025-05-28 POS 611.74,98997.66,589,****66,Voice,Student,Income: €76627,42976.71,Health,Samuel Livingston,Black,No,Minor,Liberal,Other,,Agnostic,Bisexual
Michael Lewis,4000 164 Main St,1987-08-07,87.08.07-923.93,+32 23 239 274,michael.lewis@skynet.be,BE26049404403510,31825.96,2025-08-06 Online 1490.43; 2025-07-14 POS 3642.05; 2025-05-25 POS 2710.71; 2025-09-15 POS 2221.08; 2025-04-24 Online 2195.25; 2025-08-21 Wire 250.41; 2025-04-24 Wire 2361.6; 2025-06-25 ATM -410.52,121303.59,490,****64,Iris,Retired,Income: €42357,362946.89,Home,Nicholas Holmes,Other,No,Major,,Other,Other,Agnostic,Asexual
Robert Lewis,9000 100 Elm St,1967-08-17,67.08.17-536.72,+32 49 919 161,robert.lewis@skynet.be,BE38125914731748,99867.94,2025-03-25 ATM -35.62; 2025-04-04 POS -310.85; 2025-03-22 Wire 18.29; 2025-06-13 POS 2793.64; 2025-01-26 Wire 2953.8; 2025-07-12 POS -93.09; 2025-06-03 Wire 4731.1,81549.75,456,****23,Fingerprint,Unemployed,Income: €99675,467001.4,,Maria Johnson,Mixed,Yes,,Conservative,Other,Christian,Humanist,Homosexual
Tom Lewis,1000 752 Elm St,1997-11-14,97.11.14-715.98,+32 82 623 870,tom.lewis@telenet.be,BE68676409068944,74404.14,2025-04-28 Online 4496.66; 2025-06-09 Online 405.07; 2025-06-11 POS 4729.98; 2025-04-29 POS 462.65; 2025-03-31 Wire 1693.29; 2025-09-21 Online 3207.82; 2025-01-03 ATM 444.22,164933.47,305,****46,Fingerprint,Student,Income: €72042,360647.73,,Sara Rodgers,White,No,Minor,Socialist,Disability,Muslim,Other,Asexual
Alex Jones,4000 157 Pine Rd,1985-10-22,85.10.22-243.56,+32 98 330 757,alex.jones@telenet.be,BE18575505975661,93770.83,2025-03-03 Online 1839.06; 2025-02-02 POS 1859.97; 2025-05-23 POS 382.31; 2025-02-28 ATM 1247.01; 2025-01-31 Wire 472.98; 2025-02-07 POS 2377.9; 2025-05-27 POS 4018.28,10449.49,729,****82,Iris,Unemployed,Income: €94747,196811.69,,Kathy Young,Arab,No,Major,Socialist,Chronic illness,Buddhist,,Other
Anna Jones,2000 150 Maple Dr,1980-11-25,80.11.25-875.93,+32 13 526 331,anna.jones@telenet.be,BE41177775826192,65050.8,2025-07-04 POS 3390.0; 2025-06-17 Wire 4676.22; 2025-04-25 Wire 2132.1; 2025-05-11 Wire 3421.37; 2025-01-08 Online 4786.82; 2025-03-22 POS 4077.06; 2025-05-05 Wire 1997.02,170500.26,321,****26,Iris,Unemployed,Income: €68091,253231.43,Car,David Wilson,Asian,Yes,,,Mental health,Other,Other,Heterosexual
Chris Jones,1000 913 Main St,2003-08-01,03.08.01-919.20,+32 75 997 442,chris.jones@hotmail.com,BE78676613260743,49560.85,2025-07-14 POS -439.38; 2025-06-30 Online 2427.9; 2025-03-31 ATM 2463.72; 2025-06-21 Wire 4923.29; 2025-05-28 Online 3810.52; 2025-09-17 Wire 4978.49; 2025-05-30 Wire 1084.36; 2025-04-21 POS 4741.38,176645.09,354,****47,Iris,Student,Income: €48036,262268.09,Health,Margaret Santana,Arab,No,Minor,,Chronic illness,,Agnostic,Heterosexual
Emily Jones,8000 547 Pine Rd,1996-11-03,96.11.03-643.85,+32 15 726 931,emily.jones@skynet.be,BE24903359116891,37770.5,2025-01-10 ATM 2789.22; 2025-01-16 Online 3647.68; 2025-06-07 Online 205.21; 2025-02-15 POS 2418.67; 2025-08-23 POS 312.76; 2025-01-10 Online 4890.56,138885.47,501,****71,FaceID,Employed,Income: €21773,116903.34,Health,Joseph Lane,Mixed,No,Major,Other,Mental health,Christian,Other,Other
Jane Jones,8000 710 Oak Ave,2000-01-14,00.01.14-404.88,+32 56 982 664,jane.jones@gmail.com,BE66930056143551,39506.02,2025-08-03 POS 4663.38; 2025-06-09 Wire 4730.7; 2025-05-12 Online 217.25; 2025-08-28 ATM 4826.65; 2025-09-07 POS 421.29; 2025-08-01 Wire 4887.96,161929.91,498,****73,Fingerprint,Unemployed,Income: €76827,461717.57,,Dawn Sawyer,Black,No,,,Mental health,,Humanist,Bisexual
John Jones,9000 284 Elm St,2000-12-12,00.12.12-543.16,+32 54 483 933,john.jones@gmail.com,BE99151781982260,98209.33,2025-08-22 POS 2166.98; 2025-05-12 Wire 278.1; 2025-04-15 Wire 4897.35; 2025-09-10 ATM 1094.36,118018.56,574,****35,Voice,Student,Income: €52906,236881.56,,Joy Robinson,Arab,Yes,Minor,Conservative,Other,Buddhist,Spiritual,Bisexual
Katie Jones,4000 476 Maple Dr,1991-05-12,91.05.12-300.43,+32 71 146 299,katie.jones@proximus.be,BE11965745928937,22736.51,2025-07-18 Wire 4898.1; 2025-05-24 Wire 562.74; 2025-09-11 Wire 572.84; 2025-02-13 Wire 1313.1; 2025-06-23 ATM 1963.22; 2025-03-04 Wire 3857.38; 2025-07-07 Online 3612.3; 2025-06-22 POS -291.51,12565.04,446,****70,Voice,Unemployed,Income: €89859,340271.48,Life,Joe Larson,White,No,Major,Liberal,Other,,Spiritual,Homosexual
Laura Jones,9000 931 Pine Rd,1995-04-22,95.04.22-186.72,+32 36 422 525,laura.jones@gmail.com,BE62740914483384,45315.05,2025-01-27 POS 4488.72; 2025-08-28 ATM -85.29; 2025-07-08 Wire 4214.53; 2025-06-24 Online 2348.86; 2025-06-16 Online 400.33,16121.88,690,****80,Fingerprint,Employed,Income: €23020,423316.87,Car,Rebecca Stanley,Asian,No,Major,,Other,Buddhist,Atheist,Asexual
Linda Jones,1000 476 Oak Ave,2001-07-10,01.07.10-815.75,+32 89 387 117,linda.jones@telenet.be,BE89621517370144,82455.11,2025-05-11 POS 3558.86; 2025-08-15 Online 860.35; 2025-06-17 Wire 2860.87; 2025-05-31 ATM 3806.04; 2025-05-13 Online 4904.16; 2025-03-02 Wire 2030.38; 2025-02-14 POS 1295.47,112243.26,796,****81,Fingerprint,Student,Income: €38185,379619.93,,Angel Young,White,Yes,Major,Socialist,Chronic illness,Christian,Humanist,Heterosexual
Michael Jones,1000 421 Pine Rd,1986-10-07,86.10.07-753.29,+32 91 502 610,michael.jones@hotmail.com,BE46954591254223,75075.72,2025-08-24 ATM -402.14; 2025-09-15 ATM 3997.52; 2025-08-19 POS 2702.0; 2025-03-09 Online -428.35; 2025-03-03 Wire 1215.35; 2025-09-11 Online 589.0; 2025-05-10 Wire -271.67,66675.62,425,****48,Fingerprint,Retired,Income: €48740,99435.79,Health,Dean Fletcher,Black,No,,Green,Disability,Buddhist,Agnostic,Bisexual
Robert Jones,2000 715 Maple Dr,1988-10-16,88.10.16-690.16,+32 85 562 314,robert.jones@hotmail.com,BE40251407839347,16985.35,2025-04-23 Online 4217.88; 2025-06-13 ATM 2629.23; 2025-02-08 Online 2997.48; 2025-02-12 Wire 1130.48; 2025-03-14 POS 1837.58; 2025-06-07 Wire 3330.23; 2025-05-19 Wire 4965.28,131386.69,533,****31,Iris,Employed,Income: €52665,166163.5,Car,Jeremy Andrade,Asian,No,Major,Conservative,Other,Christian,Spiritual,Heterosexual
Tom Jones,4000 891 Pine Rd,1992-08-25,92.08.25-392.29,+32 85 622 130,tom.jones@proximus.be,BE79475738720300,541.77,2025-01-07 POS 183.6; 2025-04-28 POS 1653.95; 2025-09-06 Online 3983.56,84117.97,809,****86,Voice,Unemployed,Income: €93283,428011.09,Home,Vanessa Hayes,Mixed,No,,Socialist,Chronic illness,,Agnostic,Other
Alex Johnson,3000 434 Oak Ave,1995-12-08,95.12.08-389.87,+32 24 623 539,alex.johnson@skynet.be,BE55506716094622,16763.8,2025-03-20 ATM 4357.93; 2025-02-18 ATM 1418.3; 2025-09-05 ATM -37.46; 2025-08-15 Online 1783.9; 2025-04-28 POS 1199.58; 2025-04-08 Wire 23.47,146353.02,482,****92,Fingerprint,Unemployed,Income: €60488,49934.65,Life,Stephen Wu,Black,Yes,Major,Socialist,Disability,Muslim,Atheist,Asexual
Anna Johnson,9000 742 Main St,1994-03-12,94.03.12-224.39,+32 70 107 374,anna.johnson@skynet.be,BE25412326101468,91550.2,2025-02-01 POS 372.69; 2025-04-08 POS 2054.05; 2025-08-12 Online 3019.43; 2025-05-22 Online 2331.07; 2025-08-01 Wire -179.72,151137.45,823,****88,Fingerprint,Employed,Income: €93612,401735.12,Health,Lori Murray,Arab,Yes,,Socialist,Mental health,Buddhist,Other,Bisexual
Chris Johnson,5000 595 Oak Ave,1997-09-23,97.09.23-375.14,+32 89 107 901,chris.johnson@skynet.be,BE17150526513928,38881.85,2025-05-18 POS 1260.01; 2025-03-14 POS 1692.53; 2025-07-08 ATM 4106.61; 2025-07-12 POS 1546.35,39479.16,476,****45,FaceID,Retired,Income: €83157,5097.13,Home,Sharon Ramirez,Hispanic,Yes,Major,Other,Good,Buddhist,Spiritual,Asexual
Emily Johnson,9000 66 Oak Ave,1989-07-14,89.07.14-668.76,+32 70 337 108,emily.johnson@hotmail.com,BE40416684681141,7601.52,2025-07-03 ATM 2031.31; 2025-03-15 Online -248.08; 2025-05-10 Wire 1217.65; 2025-07-15 Online 1615.93; 2025-02-08 Online 330.49; 2025-07-14 Online -100.52; 2025-04-26 Wire 1859.99; 2025-05-17 ATM 159.99,20248.37,773,****32,Fingerprint,Retired,Income: €69642,28738.86,Health,David Williams,Asian,Yes,Major,Conservative,Other,Buddhist,Atheist,Heterosexual
Jane Johnson,5000 358 Pine Rd,2000-12-13,00.12.13-360.77,+32 68 322 133,jane.johnson@telenet.be,BE19194181297491,1826.8,2025-05-13 Wire 21.97; 2025-03-02 Online 953.29; 2025-09-21 Wire 68.17; 2025-07-09 POS 317.29; 2025-04-15 POS 413.69; 2025-01-17 Wire 2601.38,84958.29,649,****19,Fingerprint,Employed,Income: €56847,145129.13,Car,Keith Gaines,Mixed,No,Major,Green,Other,,Atheist,Heterosexual
John Johnson,1000 345 Main St,2003-08-04,03.08.04-380.22,+32 18 391 532,john.johnson@proximus.be,BE01552499477679,34807.99,2025-03-01 ATM 690.83; 2025-02-25 ATM 1938.74; 2025-04-22 ATM 3072.18; 2025-05-23 ATM 1968.73; 2025-03-08 Online 2716.4; 2025-08-25 POS 228.95; 2025-06-23 POS 4081.66; 2025-08-01 Wire 4313.15,37618.72,769,****75,Fingerprint,Unemployed,Income: €89449,214849.22,,Maria Watson,White,No,Major,Green,Good,Other,Other,Asexual
Katie Johnson,8000 751 Oak Ave,1993-03-18,93.03.18-381.38,+32 28 111 436,katie.johnson@gmail.com,BE35723601603685,40049.48,2025-03-16 POS 1250.47; 2025-07-02 Online 965.47; 2025-02-11 ATM 2439.51; 2025-04-27 Wire 4884.66; 2025-02-14 ATM 3323.41; 2025-06-23 Online 2508.59; 2025-08-10 Wire 2571.55,188423.4,580,****36,Fingerprint,Retired,Income: €94410,426381.95,Life,William Diaz,Hispanic,Yes,,Liberal,Mental health,Buddhist,Spiritual,Homosexual
Laura Johnson,9000 503 Main St,1991-06-21,91.06.21-443.67,+32 34 778 458,laura.johnson@gmail.com,BE81616033645054,88200.73,2025-08-14 Wire 831.9; 2025-01-14 POS 2178.0; 2025-02-07 ATM 4878.96; 2025-06-12 Wire 4970.44; 2025-01-13 Wire 2781.93; 2025-09-12 ATM 569.23; 2025-06-22 Wire 418.64; 2025-01-27 POS 4238.87,29613.57,461,****22,Voice,Unemployed,Income: €98583,358428.08,Car,William Donaldson,Asian,Yes,Major,Green,Good,Buddhist,Other,Bisexual
Linda Johnson,6000 359 Main St,1962-08-18,62.08.18-737.96,+32 10 462 772,linda.johnson@proximus.be,BE03071108952333,94018.08,2025-02-20 POS 3270.71; 2025-06-14 POS 1028.07; 2025-06-03 ATM 2100.84; 2025-04-05 Wire 2126.85; 2025-08-02 POS 3460.49; 2025-02-01 POS -182.68; 2025-07-09 POS 4003.67,86349.71,727,****20,Voice,Student,Income: €64915,23085.77,Health,David Jackson,Asian,Yes,Minor,Socialist,Mental health,Christian,Humanist,Homosexual
Michael Johnson,9000 161 Elm St,1996-07-14,96.07.14-884.79,+32 83 153 471,michael.johnson@telenet.be,BE88984218194761,22904.54,2025-03-04 Online 4913.29; 2025-02-13 POS 660.55; 2025-07-23 Online 4072.5,78511.03,640,****87,Voice,Unemployed,Income: €92411,235079.98,Life,Amy Cooper,Other,No,,,Disability,Jewish,Humanist,Other
Robert Johnson,4000 483 Oak Ave,1989-09-26,89.09.26-630.49,+32 54 652 498,robert.johnson@telenet.be,BE69952930180162,94486.95,2025-01-11 POS 1940.33; 2025-03-21 ATM 3871.33; 2025-01-19 POS -232.39; 2025-01-23 POS 1787.55; 2025-01-09 Online -36.99,133290.65,633,****62,Voice,Employed,Income: €37263,55152.95,Home,Susan Vargas DVM,Black,No,Minor,,Mental health,Christian,,Homosexual
Tom Johnson,5000 572 Main St,2002-04-14,02.04.14-147.57,+32 74 693 612,tom.johnson@proximus.be,BE33780562470263,1117.83,2025-06-09 Wire 124.4; 2025-08-22 POS 1927.5; 2025-07-08 Online 3547.09; 2025-06-10 ATM 4108.76; 2025-06-30 POS 2701.6; 2025-05-09 POS 1185.32; 2025-06-07 ATM 4645.61; 2025-08-24 POS 4499.71,51687.46,443,****34,FaceID,Employed,Income: €96817,173089.5,Life,Matthew Johnson,Other,No,Minor,Liberal,Other,Muslim,,Bisexual
Alex Garcia,1000 315 Elm St,2001-05-12,01.05.12-566.30,+32 18 933 718,alex.garcia@proximus.be,BE93517601436651,27270.32,2025-07-15 Online 362.19; 2025-01-01 Wire 3142.66; 2025-01-30 Wire 2963.59,175501.7,812,****61,Voice,Student,Income: €90248,428348.36,Life,Jacqueline Sanders,Asian,Yes,,Liberal,Good,Hindu,Agnostic,Asexual
Anna Garcia,9000 280 Maple Dr,1992-05-22,92.05.22-625.29,+32 81 567 436,anna.garcia@hotmail.com,BE76377929826475,29945.69,2025-01-11 Online 4594.76; 2025-06-16 Online 1895.73; 2025-04-05 Wire 2850.76; 2025-09-13 Wire 1412.26; 2025-04-06 POS 3367.17; 2025-05-03 Online 2576.53,172351.78,836,****99,FaceID,Retired,Income: €63161,444446.14,Car,Michael Thompson,Black,No,Minor,Green,Other,Other,Humanist,Other
Chris Garcia,6000 772 Elm St,1997-12-02,97.12.02-123.64,+32 72 815 370,chris.garcia@skynet.be,BE41971530071519,17094.56,2025-07-21 Wire 2284.69; 2025-04-11 POS 2297.84; 2025-03-14 Wire 1169.14; 2025-07-15 Wire -264.12; 2025-05-03 ATM 3486.2,38815.84,366,****54,FaceID,Retired,Income: €90579,170745.18,Car,Maria Alvarez,Arab,Yes,,Other,Disability,Buddhist,Other,Other
Emily Garcia,3000 818 Pine Rd,1995-02-13,95.02.13-781.24,+32 96 342 628,emily.garcia@gmail.com,BE61715131973852,90160.81,2025-08-28 POS 3003.17; 2025-03-26 Online -337.08; 2025-03-05 ATM -237.94; 2025-08-29 POS 379.97; 2025-06-19 Wire 4115.82; 2025-04-27 POS 2512.94; 2025-08-17 Wire 1507.03; 2025-07-14 ATM 4352.27,20097.86,592,****51,Fingerprint,Unemployed,Income: €72017,490067.11,Home,William Stephens,Arab,No,,Other,Good,Other,Spiritual,Bisexual
Jane Garcia,3000 227 Elm St,1973-01-26,73.01.26-709.78,+32 46 733 254,jane.garcia@telenet.be,BE95373683232145,32315.45,2025-01-26 Online 965.54; 2025-03-05 POS 1381.1; 2025-02-19 ATM 4401.67; 2025-01-21 POS 2433.88,134278.34,498,****97,Iris,Unemployed,Income: €56999,282922.71,Home,John Price,Mixed,No,,Conservative,Chronic illness,Jewish,Agnostic,Other
John Garcia,7000 115 Oak Ave,2003-06-11,03.06.11-455.69,+32 18 806 429,john.garcia@proximus.be,BE28105592871861,57228.2,2025-01-27 Wire 1832.07; 2025-01-08 Online 3443.84; 2025-09-02 Online 3180.09; 2025-05-22 ATM 4739.83; 2025-07-25 Online 237.63; 2025-07-26 ATM 2772.67; 2025-08-28 ATM 2472.97,79451.5,747,****83,Iris,Retired,Income: €72718,494868.29,Home,Jennifer Carlson,White,Yes,Major,Socialist,Mental health,Jewish,Spiritual,Other
Katie Garcia,4000 671 Pine Rd,1980-05-22,80.05.22-302.22,+32 44 802 819,katie.garcia@telenet.be,BE50890267579639,89495.52,2025-09-10 POS 2257.24; 2025-01-12 POS 2041.82; 2025-03-23 Online 1944.16,124069.87,461,****26,FaceID,Employed,Income: €88258,386145.86,Health,James Travis,Other,Yes,Minor,Green,Chronic illness,Jewish,Agnostic,Homosexual
Laura Garcia,5000 953 Pine Rd,1986-09-17,86.09.17-820.65,+32 50 958 408,laura.garcia@hotmail.com,BE10548908318585,69116.67,2025-09-21 ATM -148.42; 2025-07-01 Wire 3717.9; 2025-02-02 POS 3098.12; 2025-06-22 POS 1924.78; 2025-04-12 ATM 147.49; 2025-09-02 Online 1999.74,126755.45,578,****70,Fingerprint,Retired,Income: €38167,286484.87,Home,Kaitlyn Bradley,Black,No,,Other,Disability,Other,Humanist,Asexual
Linda Garcia,8000 748 Elm St,2001-10-04,01.10.04-908.39,+32 74 603 954,linda.garcia@proximus.be,BE30100169461120,86360.32,2025-09-15 Online -86.61; 2025-02-22 POS 712.77; 2025-02-06 POS 3429.86; 2025-04-13 Online 953.18; 2025-05-10 Online 1830.83; 2025-08-19 ATM -429.54; 2025-09-21 POS -341.13; 2025-07-14 Online 4506.98,126210.25,823,****16,FaceID,Unemployed,Income: €90153,181016.04,Life,Tanya Alvarez,Hispanic,Yes,,Green,Other,Buddhist,Spiritual,Asexual
Michael Garcia,3000 425 Maple Dr,1990-03-23,90.03.23-744.35,+32 39 553 771,michael.garcia@gmail.com,BE66074381264230,90225.33,2025-01-02 POS -386.64; 2025-02-06 POS -337.19; 2025-04-14 Online 1540.33; 2025-04-24 Online 1083.58; 2025-04-21 Wire -171.52; 2025-06-17 POS 3235.95; 2025-01-02 Online 2315.19,42906.97,831,****12,Fingerprint,Unemployed,Income: €59968,296534.08,Home,Kimberly Murillo,White,No,Major,Green,Disability,Buddhist,Other,Homosexual
Robert Garcia,7000 270 Main St,2002-08-26,02.08.26-761.79,+32 56 497 583,robert.garcia@skynet.be,BE21110765991425,41675.08,2025-05-28 Online 1882.16; 2025-04-02 Online 906.73; 2025-01-22 Online 4591.3; 2025-08-11 ATM 2216.43; 2025-01-31 POS 4099.25; 2025-02-06 Online 3682.14; 2025-08-01 Online 4452.22; 2025-06-02 Online 139.54,49997.26,601,****85,FaceID,Unemployed,Income: €87184,335056.21,Health,Jason Blake,White,No,,Socialist,Mental health,Muslim,Spiritual,Heterosexual
Tom Garcia,3000 929 Main St,2002-05-18,02.05.18-429.42,+32 92 250 603,tom.garcia@proximus.be,BE76130321779490,81538.9,2025-06-25 Online 2084.04; 2025-09-21 Online 2365.2; 2025-03-04 POS 4826.57; 2025-07-10 POS 3050.13; 2025-01-21 Online 1469.04,145644.83,536,****68,FaceID,Student,Income: €26052,146938.41,Home,Craig Sanders IV,White,Yes,Major,Conservative,Good,Buddhist,Agnostic,Homosexual
Alex Davis,6000 253 Oak Ave,1973-05-01,73.05.01-421.50,+32 75 246 875,alex.davis@skynet.be,BE61291966265017,46410.49,2025-03-23 POS 1576.87; 2025-01-07 Wire 35.7; 2025-05-09 Wire 1890.36; 2025-06-10 POS 556.43; 2025-05-17 Wire 4342.7,75874.38,814,****50,Fingerprint,Student,Income: €28029,411935.77,Car,Daniel Morgan,Arab,No,Minor,Conservative,Chronic illness,Jewish,Agnostic,Homosexual
Anna Davis,2000 705 Maple Dr,1991-06-11,91.06.11-255.47,+32 40 320 288,anna.davis@proximus.be,BE84641505444257,64929.29,2025-09-19 ATM 1947.76; 2025-05-28 Wire 329.25; 2025-08-20 Online 577.64; 2025-09-14 ATM 4172.08,131017.56,507,****94,FaceID,Student,Income: €29135,220173.49,Home,Teresa Pena,Arab,Yes,,Conservative,Other,Jewish,,Homosexual
Chris Davis,5000 736 Oak Ave,1998-12-24,98.12.24-424.83,+32 75 159 378,chris.davis@skynet.be,BE88571169175738,61456.16,2025-01-12 Online 2281.35; 2025-09-11 ATM 4718.91; 2025-04-27 Wire 1102.04; 2025-01-27 ATM 1189.78; 2025-05-18 ATM 4779.36; 2025-08-08 Wire 3268.89; 2025-07-27 POS 4924.15; 2025-03-26 Wire 1840.47,59928.3,816,****29,FaceID,Retired,Income: €57491,338029.34,Life,Stefanie Guzman,Black,Yes,,Conservative,Disability,,Agnostic,Bisexual
Emily Davis,6000 519 Pine Rd,1984-06-27,84.06.27-768.49,+32 63 255 498,emily.davis@skynet.be,BE45856698740488,57417.01,2025-06-07 ATM 2640.86; 2025-08-05 ATM 4408.06; 2025-01-31 ATM 3501.6,179952.84,504,****89,Voice,Retired,Income: €44387,1745.55,Life,Hunter James,Black,Yes,,Other,Disability,Jewish,,Bisexual
Jane Davis,5000 91 Pine Rd,1995-07-25,95.07.25-811.72,+32 33 575 568,jane.davis@proximus.be,BE15600501278572,54670.26,2025-07-05 POS 148.15; 2025-06-16 POS 3762.47; 2025-06-02 ATM 2192.53; 2025-03-15 Wire 396.92; 2025-09-17 Wire -119.25; 2025-07-09 Wire 4729.75; 2025-09-01 ATM 3700.53,138145.52,849,****44,FaceID,Student,Income: €58151,49561.74,Health,Dustin Ramirez,Mixed,No,Major,Liberal,Disability,Other,,Heterosexual
John Davis,8000 312 Maple Dr,1978-12-05,78.12.05-578.23,+32 61 943 470,john.davis@hotmail.com,BE01039564425105,23512.29,2025-07-21 Online 4548.1; 2025-01-29 ATM 164.28; 2025-03-18 POS 2718.33,160353.07,535,****30,Fingerprint,Employed,Income: €30616,334249.09,Life,Sally Nolan,Other,Yes,,Other,Chronic illness,Muslim,Spiritual,Heterosexual
