First Name,Last Name,ID Number,Postal Address,Street Name,Phone Number,Date of Birth,Age,Education,Family Data,Marital Status,Gender,Citizenship,Email,Employment Data,Household Data,IP Address,Location,Hobbies,Interest,Carrier
Chris,Clark,91.09.13-659.21,3000,275 Main St,+32 38 570 578,1991-09-13,34,1,3 members,2,Female,Belgium,chris.clark@proximus.be,Retired,Income: €71527,20.124.192.198,Leuven,Traveling,Art,IT
Emily,Clark,88.10.28-562.36,2000,543 Pine Rd,+32 66 982 676,1988-10-28,37,1,5 members,2,Male,Belgium,emily.clark@skynet.be,Retired,Income: €60758,119.153.53.218,Antwerp,Traveling,Finance,Banking
Jane,Clark,86.04.18-502.34,6000,918 Pine Rd,+32 81 688 830,1986-04-18,39,2,5 members,1,Female,Belgium,jane.clark@hotmail.com,Student,Income: €86398,83.68.117.134,Charleroi,Cooking,Finance,IT
John,Clark,96.11.18-706.37,1000,987 Main St,+32 54 302 846,1996-11-18,29,2,3 members,1,Female,Belgium,john.clark@skynet.be,Retired,Income: €22678,205.36.108.49,Brussels,Reading,Technology,Healthcare
Katie,Clark,77.05.02-826.30,8000,559 Pine Rd,+32 69 874 666,1977-05-02,48,1,5 members,1,Female,Belgium,katie.clark@hotmail.com,Student,Income: €56424,206.177.25.198,Bruges,Traveling,Finance,Banking
Laura,Clark,96.06.02-865.71,5000,905 Main St,+32 77 944 192,1996-06-02,29,1,2 members,2,Male,Belgium,laura.clark@skynet.be,Unemployed,Income: €87076,194.123.231.241,Namur,Traveling,Finance,Education
Linda,Clark,68.12.09-342.34,5000,609 Main St,+32 51 116 565,1968-12-09,57,1,3 members,1,Male,Belgium,linda.clark@proximus.be,Unemployed,Income: €82673,120.95.74.124,Namur,Gaming,Art,Healthcare
Michael,Clark,90.12.23-308.24,2000,390 Maple Dr,+32 94 234 198,1990-12-23,35,2,4 members,1,Female,Belgium,michael.clark@gmail.com,Employed,Income: €89296,126.34.211.123,Antwerp,Cooking,Finance,Education
Robert,Clark,92.03.12-316.32,4000,22 Pine Rd,+32 62 153 867,1992-03-12,33,2,1 members,2,Male,Belgium,robert.clark@skynet.be,Employed,Income: €67009,11.12.118.235,Liège,Traveling,Art,Education
Tom,Clark,95.11.12-156.58,1000,971 Oak Ave,+32 32 370 217,1995-11-12,30,3,1 members,2,Male,Belgium,tom.clark@gmail.com,Unemployed,Income: €37761,177.134.0.151,Brussels,Cooking,Sports,IT
Alex,Brown,76.02.18-943.99,5000,455 Oak Ave,+32 95 157 245,1976-02-18,49,1,1 members,1,Female,Belgium,alex.brown@telenet.be,Student,Income: €89624,176.124.70.87,Namur,Traveling,Art,Banking
Anna,Brown,81.08.12-458.46,8000,275 Pine Rd,+32 11 951 298,1981-08-12,44,2,3 members,1,Female,Belgium,anna.brown@hotmail.com,Student,Income: €59523,41.95.50.80,Bruges,Gaming,Finance,Healthcare
Chris,Brown,68.05.07-325.43,8000,800 Elm St,+32 43 913 642,1968-05-07,57,2,3 members,1,Male,Belgium,chris.brown@skynet.be,Employed,Income: €53390,174.110.225.122,Bruges,Gaming,Art,IT
Emily,Brown,02.05.03-448.58,5000,12 Oak Ave,+32 41 115 150,2002-05-03,23,3,3 members,3,Female,Belgium,emily.brown@gmail.com,Unemployed,Income: €40298,133.156.255.216,Namur,Traveling,Sports,IT
Jane,Brown,87.04.24-327.86,7000,825 Elm St,+32 57 753 930,1987-04-24,38,2,4 members,2,Male,Belgium,jane.brown@gmail.com,Employed,Income: €83467,255.212.11.193,Mons,Traveling,Technology,Banking
John,Brown,72.06.16-638.41,1000,202 Main St,+32 62 363 308,1972-06-16,53,1,4 members,1,Male,Belgium,john.brown@telenet.be,Employed,Income: €72704,114.252.12.189,Brussels,Gaming,Sports,Education
Katie,Brown,03.07.04-861.67,8000,464 Pine Rd,+32 93 974 683,2003-07-04,22,2,1 members,2,Male,Belgium,katie.brown@hotmail.com,Retired,Income: €95804,111.9.45.18,Bruges,Traveling,Art,IT
Laura,Brown,81.06.14-881.18,2000,693 Oak Ave,+32 73 324 987,1981-06-14,44,3,4 members,2,Male,Belgium,laura.brown@proximus.be,Student,Income: €42553,17.101.81.134,Antwerp,Cooking,Finance,Education
Linda,Brown,96.11.20-957.79,7000,706 Oak Ave,+32 93 549 765,1996-11-20,29,2,4 members,2,Male,Belgium,linda.brown@hotmail.com,Unemployed,Income: €20911,25.149.145.191,Mons,Cooking,Technology,IT
Michael,Brown,81.11.21-678.70,5000,933 Pine Rd,+32 76 838 595,1981-11-21,44,2,5 members,2,Female,Belgium,michael.brown@skynet.be,Employed,Income: €31118,90.63.236.42,Namur,Traveling,Art,Banking
Robert,Brown,97.02.19-901.88,6000,834 Main St,+32 89 434 460,1997-02-19,28,1,2 members,2,Male,Belgium,robert.brown@telenet.be,Retired,Income: €71775,138.191.65.107,Charleroi,Gaming,Finance,Education
Tom,Brown,76.10.27-196.90,5000,85 Oak Ave,+32 60 399 263,1976-10-27,49,1,4 members,1,Male,Belgium,tom.brown@gmail.com,Retired,Income: €79021,15.219.244.121,Namur,Gaming,Sports,Banking
